source,page_url,author,license,license_url,filename,original_title,date
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Detalle_portada_mud%C3%A9jar_de_La_Seo.jpg,Escarlati,CC BY-SA 2.5,https://creativecommons.org/licenses/by-sa/2.5,Detalle_portada_mudejar_de_La_Seo.jpg,File:Detalle portada mudéjar de La Seo.jpg,5 April 2007 (upload date)
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:2007.10.04_078_Mosaicos_Alc%C3%A1zar_Sevilla.jpg,Hermann Luyken,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,2007.10.04_078_Mosaicos_Alcazar_Sevilla.jpg,File:2007.10.04 078 Mosaicos Alcázar Sevilla.jpg,2007-10-04
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Fale_-_Spain_-_Sevilla_-_62.jpg,Fabio Alessandro Locati,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Fale_-_Spain_-_Sevilla_-_62.jpg,File:Fale - Spain - Sevilla - 62.jpg,
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Fale_-_Spain_-_Sevilla_-_74.jpg,Fabio Alessandro Locati,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Fale_-_Spain_-_Sevilla_-_74.jpg,File:Fale - Spain - Sevilla - 74.jpg,
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Fale_-_Spain_-_Sevilla_-_75.jpg,Fabio Alessandro Locati,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Fale_-_Spain_-_Sevilla_-_75.jpg,File:Fale - Spain - Sevilla - 75.jpg,
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Fale_-_Spain_-_Sevilla_-_80.jpg,Fabio Alessandro Locati,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Fale_-_Spain_-_Sevilla_-_80.jpg,File:Fale - Spain - Sevilla - 80.jpg,
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Fale_-_Spain_-_Sevilla_-_81.jpg,Fabio Alessandro Locati,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Fale_-_Spain_-_Sevilla_-_81.jpg,File:Fale - Spain - Sevilla - 81.jpg,
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Convento_de_las_Due%C3%B1as10.jpg,Ophelia2,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Convento_de_las_Duenas10.jpg,File:Convento de las Dueñas10.jpg,2009-08-19
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Section_of_a_tile_floor_with_coat_of_arms.jpg,artwork: unknown (between 1425 and 1450),Public domain,,Section_of_a_tile_floor_with_coat_of_arms.jpg,File:Section of a tile floor with coat of arms.jpg,
Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Azulejo_flores_azules.jpg,Nick,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Azulejo_flores_azules.jpg,File:Azulejo flores azules.jpg,2010-11-06 14:15
